,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; i&acute;ll protect you!!!!!!!! *stands in front of _marisa_ with rusty knife* ^_^ *stands in front of steppin with a spiked d!ldo* :d it&acute;s official. kratos, steppin, and marisa, are the kinkiest oters. :oops:8) let&acute;s not forget our sexified tomxizor :d with our powers combined, we shall conquer the world!!!! they&acute;ll be so sore, they won&acute;t be able to sit down for weeks ^_^ if i were a guy, i&acute;d be gay just so i could sex you up :d8 years, 18 days ago",3,,,
"&acute;&acute; well if hamas and islamic/political extremists backed down and topped firing rockets at israel... hamas keeps saying &acute;we&acute;re fighting back because israel attacked us&acute; but they&acute;re fogetting that they fired first. they, the hamas, are attacking for a reason, they lost 90% of their land and that&acute;s being &acute;active&acute;. that&acute;s why they &acute;shoot rockets&acute;. as an analogy, if you stole money from me but i reacted by hitting you, it would not give you the right to hit me and steal me again.",3,,,
"i don&acute;t pay them any attention. they&acute;re being paid to be there. they don&acute;t care about anything that happens there. smile, look pretty for the camera. i had one at a convention i went to try to sell me a calender or something with pictures of her in it. like, she wanted me to pay money to have a calender with pictures of her in it. fuck that, porn is free on the tubes. and if i want women to pretend to be interes",3,,,
"you know what i hate? i hate how whoever is doing the report, asks the person for a photo but to &acute;give us a pose to show what you went thru and how you felt&acute; (or something along the line ) amd_alexa_gonzalez.jpg picture by scallywag66 the hell did they ask her to pose like that for? that&acute;s a stupid picture in any event, i dont think it was worth arresting here, but you know, sometimes they have to make an example out of somebody.",3,,,
"well just went ahead an ordered a 320 gb hard drive for my xbox 360 should be better now, since i&acute;ll have memory for my xbox 360 i can use got it for $100 would of bought the 250 gb but it was like nearly $90 so another $10 for a 320 wouldn&acute;t hurt and went with that. and looks like i&acute;m at level 42 should of reached the level few days ago though, anyway 8 more to go till i hit level 50.",2,,,
"depends on what you&acute;re playing. if you&acute;re doing high school musical and kirby, then yeah. however, final fantasy iv/iii, contra 4, castlevania:dawn of sorrow/order of ecclesia/portrait of ruin, the phoenix wright games, chrono trigger, ketsui death label and a lot more will statisfy your hardcore needs. fire emblem: shadow dragon is out soon. psp has some good games on it, but not enough compared to the ds. sure, locoroco, mgs:po, ffvii:cc and a couple others are interesting, but not enough to justify a purchase.",2,,,
"&acute;&acute; yeah outside of eustice or whatever his name is i thought was kind of annoying, someone i probably would of hit for talking and complaining too much. but have loved the soundtracks to all the movies as well as the story though. and i think i heard if they do a 4th one it might be the silver chair or the magician&acute;s nephew not sure on that or if they will. just watched that recently as well then watched the dark knight after.",2,,,
"&acute;&acute; wack!!!!!!!!!!!!!!!! the beat is horrible and so are his &acute;rhymes&acute; the earth is a space ship goin round and round? that is wack. compare it to &acute;it was a good day&acute; by ice cube. &acute;plus nobody got killed in south central la/ i gotta say it was a good day&acute; ice cube is way better and has a better beat and flow. and he doesn&acute;t look like a p****. you&acute;re probably gonig to hell now, just so you know.8 years, 11 days ago",3,,,
"&acute;&acute; are you gonna get last remanent for 360? i know you want it dude. i dont see how you could play that along w/ tos2 though... if i have to, i will rob a game stop at gun point for that game.... no, not really :p, but i do want it, badly. if ive managed to juggle all those games im pretty sur i can juggle the last remnant and tos2.... or ill just play tlr and shut out every other game ;).",2,,,
"&acute;&acute; i actually disagree with that notion. if he wants to continue to take risks such as rango, depp will need surefire things to put money in the bank. pirates is that golden ticket. but depp is already crazy rich. his personal net worth is around $200 million. he doesn&acute;t have to work another day in his life if he doesn&acute;t want to. there&acute;s no reason for him to be complicit in the continuation of the pirates franchise. i say let it die already.",2,,,
"im 15 and the problems i have had w/ the parents is that getting xbox live is gonna give the computer viruses( i dont know where they got that. my dad thinks hes smart w/ computer stuff, but he&acute;s not) and the only other thing is that they think that i waste my money and stuff but once i get my job started bac up during the fall im gonna be buyin a wii and a lot of games so i dont really care.",3,,,
"i&acute;ve been in the beta since day one but i&acute;m not sold on cod world at war. it doesn&acute;t feel as polished as cod4, and i have issues with the hit detection and balance of weapons. it just doesn&acute;t click with me like cod4 did. i&acute;ll stick with cod4. i&acute;m also surprised that to me cod4 looks better. not getting cod world at war, will play left 4 dead and gears 2 online until cod6 lands, that will be the true sequel to cod4.",3,,,
"probably an open world game you that you can play as a dragon and fight other dragons and creatures and be able to customize the dragon and select different elements like darkness, light, water, wind, fire earth, electricity and others. maybe add a telekinetic dragon in. and would like a 3d zoids fighting game like battle legends, also want a legend of spyro hd trilogy that and more games you can play as a dinosaur would be nice. and maybe more space exploration/battle games",2,,,
